Experiment,Model,P@5,R@5,NDCG@5,P@10,R@10,NDCG@10
Exp1_FullText,Image-only,0.77,0.007441392537777594,0.7806027795771224,0.7562000000000001,0.012733355147327246,0.7675930002964148
Exp1_FullText,Text-only,0.988,0.012559793566048095,0.9899650391927426,0.9792000000000001,0.02249978454684376,0.9837049110802657
Exp1_FullText,Multimodal,0.9932000000000001,0.015726551325520113,0.9948117227469736,0.991,0.028978200086272058,0.9940158858290288
Exp2_ColourBlind,Image-only,0.2775757575757576,0.017921565116564928,0.29220743463229015,0.2537373737373737,0.02763962212935018,0.27358422010799877
Exp2_ColourBlind,Text-only,0.19717171717171716,0.023541993577667175,0.20276373119548088,0.19555555555555557,0.03734048514502526,0.20415748239649356
Exp2_ColourBlind,Multimodal,0.3135353535353535,0.030056421530397108,0.32469347761973716,0.2903030303030303,0.04314276960762255,0.30949033386097013
